id,departtime,from,to,vehicleClass,algorithm
0,43200,1450926700,1961046300,C,0
1,43200,1450068300,1451113500,C,0
2,43200,1450914300,1450918300,C,0
3,43200,1450040900,1450573314,C,0
4,43200,1960008700,1960005100,C,0
5,43200,1451118000,1451171501,C,0
6,43200,1450055500,1451070400,C,0
7,43200,1961259801,1961237201,C,0
8,43200,1961203001,1961200301,C,0
9,43201,1450057110,1960051200,C,0
10,43201,1450420701,1451140700,C,0
11,43201,1961205201,1451089900,C,0
12,43201,1960995100,1961045500,C,0
13,43201,1451188901,1961044700,C,0
14,43202,1451059800,1960066200,C,0
15,43202,1450049102,1960988900,C,0
16,43202,1451118200,1961254301,C,0
17,43202,1451177001,1450048601,C,0
18,43202,1450902500,1961256001,C,0
19,43202,1451059800,1451082200,C,0
20,43203,1961047000,1960077900,C,0
21,43203,1960985200,1961054600,C,0
22,43203,1961299601,1961297001,C,0
23,43203,1451115900,1961203401,C,0
24,43203,1451159101,1960048001,C,0
25,43204,1451066000,1960000600,C,0
26,43204,1450420200,1961255401,C,0
27,43204,1961260601,1450065801,C,0
28,43204,1961061900,1451189401,C,0
29,43204,1960071606,1450902500,C,0
30,43204,1961294801,1961062000,C,0
31,43204,1451195501,1961257501,C,0
32,43204,1451176301,1961072600,C,0
33,43204,1960994900,1450812601,C,0
34,43204,1451087500,1960993900,C,0
35,43204,1961053400,1960067700,C,0
36,43205,1960079500,1960062400,C,0
37,43205,1960009610,1960076601,C,0
38,43205,1451175701,1960055100,C,0
39,43205,1451092800,1450904400,C,0
40,43205,1450063807,1451048000,C,0
41,43205,1450917600,1450572802,C,0
42,43205,1450991102,1961061700,C,0
43,43206,1451082500,1450806900,C,0
44,43206,1451048900,1451078500,C,0
45,43206,1451094800,1451077500,C,0
46,43206,1960229600,1960052000,C,0
47,43206,1450048502,1960066600,C,0
48,43207,1451156501,1960991400,C,0
49,43207,1450808301,1450809500,C,0
50,43207,1960051802,1960048502,C,0
51,43207,1450811000,1450052200,C,0
52,43207,1451058000,1450812602,C,0
53,43207,1961057500,1961031200,C,0
54,43207,1450918400,1961060000,C,0
55,43207,1960057004,1960065900,C,0
56,43208,1961264301,1960006105,C,0
57,43208,1451189401,1451098400,C,0
58,43208,1961301101,1960080200,C,0
59,43208,1450812601,1451098800,C,0
60,43208,1451120600,1450009423,C,0
61,43208,1450928500,1961206001,C,0
62,43208,1961055400,1961260601,C,0
63,43208,1960242600,1961198501,C,0
64,43209,1960069300,1450009800,C,0
65,43209,1960987700,1451100800,C,0
66,43209,1450068600,1451138300,C,0
67,43209,1450042600,1960076504,C,0
68,43209,1961072000,1451171301,C,0
69,43209,1450050301,1451182101,C,0
70,43210,1451141600,1960983200,C,0
71,43210,1450917800,1961052400,C,0
72,43210,1960405101,1960000717,C,0
73,43210,1451090100,1451152800,C,0
74,43210,1961255301,1961060800,C,0
75,43211,1451193301,1450811405,C,0
76,43211,1450907200,1960053900,C,0
77,43211,1451142200,1451047900,C,0
78,43211,1450807100,1961069800,C,0
79,43211,1450421400,1450047804,C,0
80,43211,1960052302,1450008303,C,0
81,43211,1451092000,1450812801,C,0
82,43212,1961297101,1960006001,C,0
83,43212,1961264701,1961055800,C,0
84,43212,1961059600,1450007501,C,0
85,43212,1961174300,1961047100,C,0
86,43212,1961205301,1450002907,C,0
87,43212,1450573721,1450339200,C,0
88,43212,1960052900,1450917700,C,0
89,43212,1961053300,1960048802,C,0
90,43212,1450573306,1450053900,C,0
91,43213,1451139000,1450049201,C,0
92,43213,1450055200,1960067600,C,0
93,43213,1960075300,1450048304,C,0
94,43214,1450924200,1961057600,C,0
95,43214,1961069600,1450046601,C,0
96,43214,1451142600,1450421800,C,0
97,43214,1450676600,1450050003,C,0
98,43214,1961057700,1960076900,C,0
99,43214,1960070602,1451115400,C,0
100,43215,1451073800,1450675701,C,0
101,43215,1451096100,1450993000,C,0
102,43215,1960074100,1451193701,C,0
103,43215,1961298501,1450814300,C,0
104,43215,1450994702,1451103700,C,0
105,43216,1961055000,1961262601,C,0
106,43216,1451139700,1450044700,C,0
107,43216,1960068001,1961199001,C,0
108,43216,1450926700,1450924300,C,0
109,43216,1961072600,1450809400,C,0
110,43216,1450903800,1960072900,C,0
111,43216,1961253701,1450057900,C,0
112,43217,1451183401,1450813604,C,0
113,43217,1451093600,1450907800,C,0
114,43217,1451051400,1961206301,C,0
115,43217,1451166301,1451087100,C,0
116,43217,1450064300,1451191501,C,0
117,43218,1450912100,1961030100,C,0
118,43218,1960051100,1450573011,C,0
119,43218,1451185901,1960000302,C,0
120,43218,1451121200,1960054800,C,0
121,43219,1450915000,1451048800,C,0
122,43219,1451089800,1450011200,C,0
123,43219,1451192501,1450812002,C,0
124,43219,1961243901,1960229100,C,0
125,43219,1961202701,1451192001,C,0
126,43219,1450573123,1960071503,C,0
127,43219,1961060300,1961198701,C,0
128,43219,1450573713,1451071600,C,0
129,43220,1960052000,1960001900,C,0
130,43220,1451184301,1961058500,C,0
131,43220,1960048300,1961057400,C,0
132,43220,1450069401,1450912700,C,0
133,43220,1451190601,1450421000,C,0
134,43220,1961057000,1961257901,C,0
135,43221,1451187701,1451113800,C,0
136,43221,1450336200,1450573101,C,0
137,43221,1450048301,1960989900,C,0
138,43221,1450573617,1451052200,C,0
139,43221,1451100000,1451104100,C,0
140,43221,1451055200,1450808402,C,0
141,43222,1451064800,1960071506,C,0
142,43222,1451063600,1451182001,C,0
143,43222,1960076200,1960071601,C,0
144,43222,1960070101,1451091100,C,0
145,43222,1450048800,1451101300,C,0
146,43222,1450810000,1450813000,C,0
147,43222,1960982400,1961232701,C,0
148,43222,1451100400,1451193301,C,0
149,43223,1960007105,1450929302,C,0
150,43223,1451191101,1450812801,C,0
151,43223,1960982800,1451102700,C,0
152,43223,1450054600,1451106000,C,0
153,43223,1450336400,1451092000,C,0
154,43223,1960068002,1451084800,C,0
155,43223,1961200001,1450929500,C,0
156,43223,1961295301,1960060900,C,0
157,43224,1960000705,1960048501,C,0
158,43224,1450907200,1450918800,C,0
159,43224,1451084700,1450573620,C,0
160,43224,1450926700,1961259401,C,0
161,43224,1451053300,1451140400,C,0
162,43224,1960000718,1961055800,C,0
163,43224,1961071000,1960064901,C,0
164,43225,1961057700,1450573112,C,0
165,43225,1450807502,1451095800,C,0
166,43225,1961294101,1961070900,C,0
167,43225,1451138800,1961233301,C,0
168,43225,1961053300,1451065400,C,0
169,43225,1451092000,1451155801,C,0
170,43225,1450594700,1450065708,C,0
171,43225,1960219000,1961058200,C,0
172,43226,1961262401,1961254601,C,0
173,43226,1960990600,1961296001,C,0
174,43226,1450013001,1450807800,C,0
175,43226,1451192001,1961201201,C,0
176,43226,1450008200,1450903400,C,0
177,43227,1451084200,1451084300,C,0
178,43227,1451142600,1451053400,C,0
179,43227,1451051800,1451188501,C,0
180,43227,1451186201,1451096000,C,0
181,43227,1451115500,1960071605,C,0
182,43227,1451193801,1450812802,C,0
183,43228,1960241300,1961028500,C,0
184,43228,1451176701,1451194801,C,0
185,43228,1961299401,1451069500,C,0
186,43228,1451091400,1961264801,C,0
187,43228,1451191701,1450676003,C,0
188,43228,1961298901,1450914800,C,0
189,43229,1450011902,1961072500,C,0
190,43229,1451110300,1960993100,C,0
191,43229,1451184001,1961207601,C,0
192,43229,1960531000,1961253601,C,0
193,43229,1450420703,1961174500,C,0
194,43229,1961058900,1960983400,C,0
195,43230,1451190901,1451090700,C,0
196,43230,1451157101,1450812903,C,0
197,43230,1961156500,1960004106,C,0
198,43230,1451078400,1960063800,C,0
199,43230,1450913300,1451084600,C,0
200,43230,1960079806,1961200401,C,0
201,43230,1451080800,1451171501,C,0
202,43230,1961030900,1961174200,C,0
203,43230,1960071604,1961071400,C,0
204,43230,1450915300,1960067700,C,0
205,43230,1960006105,1961237701,C,0
206,43231,1961299901,1451093900,C,0
207,43231,1961205301,1960076001,C,0
208,43231,1450912800,1961060200,C,0
209,43231,1961068100,1961062800,C,0
210,43231,1451109000,1960053300,C,0
211,43231,1960984200,1960076402,C,0
212,43231,1960072002,1960993500,C,0
213,43231,1450068100,1960006800,C,0
214,43231,1451187701,1450902800,C,0
215,43232,1451065100,1450811805,C,0
216,43232,1961073900,1960064902,C,0
217,43232,1960005801,1960991600,C,0
218,43232,1451162601,1451101300,C,0
